week,day,workout_name,exercise,exercise_group,set,reps,weight,rpe,notes
1,1,"Full Body #1","Cross-body lat pullaround (kneeling)",,1,"8-10",,8,"Rest: 2-3 min. Technique: Long-length Partials. Try to keep cable and wrist aligned. Feel deep lat stretch at top."
1,1,"Full Body #1","Cross-body lat pullaround (kneeling)",,2,"8-10",,8,"Rest: 2-3 min. Technique: Long-length Partials. Try to keep cable and wrist aligned. Feel deep lat stretch at top."
1,1,"Full Body #1","Cross-body lat pullaround (kneeling)",,3,"8-10",,9,"Rest: 2-3 min. Technique: Long-length Partials. Try to keep cable and wrist aligned. Feel deep lat stretch at top."
1,1,"Full Body #1","Low Incline Smith Machine Press",,1,"8-10",,8,"Rest: 2-3 min. Technique: Pec Static Stretch (30s hold). Set bench at ~15° incline. 1 second pause on chest while maintaining pec tension."
1,1,"Full Body #1","Low Incline Smith Machine Press",,2,"8-10",,8,"Rest: 2-3 min. Technique: Pec Static Stretch (30s hold). Set bench at ~15° incline. 1 second pause on chest while maintaining pec tension."
1,1,"Full Body #1","Low Incline Smith Machine Press",,3,"8-10",,9,"Rest: 2-3 min. Technique: Pec Static Stretch (30s hold). Set bench at ~15° incline. 1 second pause on chest while maintaining pec tension."
1,1,"Full Body #1","Machine Hip Adduction",,1,"10-12",,8,"Rest: 1-2 min. Mind-muscle connection with inner thighs. REDUCED FROM 3 SETS"
1,1,"Full Body #1","Machine Hip Adduction",,2,"10-12",,9,"Rest: 1-2 min. Mind-muscle connection with inner thighs. REDUCED FROM 3 SETS"
1,1,"Full Body #1","Leg Press",,1,"8-10",,8,"Rest: 3-4 min. Technique: Quad Static Stretch (30s). Feet lower for quad focus. Deep as possible without back rounding. Control negative, slight pause at bottom. REDUCED FROM 3 SETS"
1,1,"Full Body #1","Leg Press",,2,"8-10",,9,"Rest: 3-4 min. Technique: Quad Static Stretch (30s). Feet lower for quad focus. Deep as possible without back rounding. Control negative, slight pause at bottom. REDUCED FROM 3 SETS"
1,1,"Full Body #1","Lying Paused Rope Face Pull",,1,"10-12",,9,"Rest: 1-2 min. Pause 1-2 seconds in squeeze. Contract rear delts hard."
1,1,"Full Body #1","Cable Crunch",,1,"10-12",,9,"Rest: 1-2 min. Round lower back as you crunch. Maintain mind-muscle connection with abs."
1,2,"Full Body #2","Seated DB Shoulder Press",,1,"8-10",,8,"Rest: 2-3 min. Slightly rotate dumbbells in on negative, flare elbows out as you push."
1,2,"Full Body #2","Seated DB Shoulder Press",,2,"8-10",,8,"Rest: 2-3 min. Slightly rotate dumbbells in on negative, flare elbows out as you push."
1,2,"Full Body #2","Seated DB Shoulder Press",,3,"8-10",,9,"Rest: 2-3 min. Slightly rotate dumbbells in on negative, flare elbows out as you push."
